age,location,text,r,g,b,x,y
30代,横浜,引っ越し先の近所情報があまりないので、どこに遊びにいけばいいかわからない。,6.195317685,-6.709338324,-0.620720125,-6.273250043,-15.04505224
20代,横浜,公共交通機関の筈なのに肩身が狭すぎる。マナーが悪いのは子連れとは限らないのに、子供を連れているだけで、迷惑がられるのは何故！？,-10.65745599,-1.70587642,-6.78101535,14.50657085,-22.72152243
30代,横浜,認可保育園の充実を！！,5.199467041,7.669266513,4.952005185,19.21350264,6.231883347
30代,横浜,保育園（認可）をもっとふやして！！,6.690808333,6.095305374,1.631911566,15.13782066,6.073572454
,横浜,高速道路に屋根をつけて、静かにしてほしい。,1.257987213,5.369947087,-1.325118096,-6.623062086,10.3561833
20代,横浜,保育園を増やしてほしい,9.955917328,1.241229595,2.400771319,8.449210821,1.960729129
,横浜,駅にエレベーターがほしいです。もっと増やしてほしいです。,-8.105807096,-2.698890558,3.826774121,6.700794892,-12.65635271
30代,横浜,アメリカのようにもっと子連れの人に気軽にドアを開けてあげたり、電車で席を譲って欲しい。,-2.630541613,2.84124794,3.340258472,-7.625267943,4.120133686
20代,横浜,駅にエレベーター、エスカレーターがなくこまっています。のぼりおりが毎回大変です、、、。,-7.756841599,2.148875877,4.032753348,9.281583602,-10.72768821
20代,横浜,駅にエレベーターを増やしてほしい！子ども＆ママに優しい世の中になってほしい！！,-7.551635648,-4.414077801,0.010172364,2.596284469,-15.51518081
20代,横浜,子どもと電車のる時まわりの目が気になる。子ども専用車両とかあるといいなー。,-9.456349447,-1.920494061,7.459159201,11.4684229,-7.339392942
30代,横浜,授乳スペースに困る。近くの駅近くのスーパーとか大きなスーパーにはあるが、この駅には近くに授乳出来る所が無いから行けない！とかなってしまう。,-8.756255224,-3.444648046,-0.270217344,4.078298488,-16.40534545
20代,横浜,優先席譲らない若者が多いので困る,-9.963330439,-0.280757124,2.539528893,12.2113286,-12.24482938
30代,横浜,もっと子育てしやすい街にしてほしい！！公園を増やしてー！！,3.414746671,-6.003006959,1.116239309,-3.302422687,-7.563106304
,横浜,子供の医りょう費！,-1.726071844,6.03331368,2.319726948,-8.28971105,6.514422075
30代,横浜,エレベーターが少ない。エレベーターが遠い。段差が多い！！,-10.07532703,0.220189548,2.710718194,12.20933264,-12.24944513
30代,横浜,横浜駅（ＪＲ、東横ｅｔｃ、、、）エレベーターをもっと増やしてもらいたい,-10.97740787,-1.433830158,-4.317666548,14.91763337,-20.08537416
20代,横浜,横浜の中学校を給食制にしてほしい！！,-1.788647964,9.279641852,-7.174640622,-16.783145,14.92904878
20代,横浜,地区センターなどにもっとおむつ替えシート増やしてほしい。,5.598163417,-4.0199595,-0.846387278,-3.26243371,-13.01472407
30代,横浜,仕事さがしを先か？保育園に入れることが先か？もっと保育園に入りやすく、そしてたくさんつくってほしい,3.717683024,2.764037123,1.466878781,11.1927725,11.43939659
30代,横浜,1才になって仕事復帰するのに保育園の空きがないー,3.551605084,9.749146055,6.08359379,20.60347961,9.10690838
30代,横浜,バスに若い人がのれない。子連れは特に、、、。横浜市,2.278677271,2.421547844,-3.043618743,-12.41090771,2.337603566
20代,横浜,美容室に行きたいのに赤ちゃんＯＫのトコロがない。,-2.512105346,0.347319824,6.952054529,0.746425927,-2.704954588
30代,横浜,子連れで行けるカフェやレストランを増やして欲しい,-1.749888185,0.389579496,6.775563007,0.286948177,-1.977916979
20代,横浜,保育園に行ってない子供たちでも、集まって遊べるようなイベントがあるといいなー！！,6.519072889,-9.533995496,-2.085579909,-8.327356926,-16.60875684
20代,横浜,駅にエレベーターを増やして！！電車にベビーカーせんもん車両つくって！！,-11.14621032,-0.076359481,-3.092545496,14.93811579,-18.25279232
40代,横浜,歩きタバコをやめてほしい,9.853668675,3.046431941,6.545017262,14.1935736,-3.075929071
20代,横浜,いろいろな所にもっとエレベーターを作って欲しいです。,-1.749921649,0.389387125,6.771403778,0.287137799,-1.978111173
20代,横浜,保育園の空きがなくて仕事がしたくても出来ない！！,5.416581019,7.775130696,5.370208307,19.06235548,6.274086405
30代,横浜,小学校卒業まで医療費をタダにしてほしい。,-2.036474969,10.43391585,-8.595339153,-18.75344511,15.8300221
20代,横浜,エレベーターの数を増やして下さい！！,9.558237169,2.964190892,6.754873203,14.20520658,-3.076919345
20代,横浜,病院の待ち時間が長い。子ども連れだと待ち時間が大変、、、,-7.787726944,-1.848608846,5.895492867,9.524932404,-8.20362472
30代,横浜,予防接種の計画がわかりづらい！！,0.942181537,7.222648155,-1.394883722,-9.341901879,15.96103886
30代,横浜,元町中華街えきの近くにも子育て支援センターがほしい,5.071983204,-11.24392531,-5.312173804,-11.09134023,-19.5779194
30代,横浜,ベビーカーで地下鉄に乗ろうとしたら、エレベーターがなかった。,-9.923647113,0.125148517,2.755159511,12.22293884,-12.25198965
30代,横浜,安心して遊ばせられる場所が増えてほしいです。,5.760080392,-6.970106363,-2.360372411,-7.94679931,-14.24339936
20代,横浜,公立のようちえんをもっと増やしてほしい！,1.847750657,4.868005362,-1.437891595,-6.07481261,9.589071921
20代,横浜,駅に階段しかない大きな駅（新橋など）エレベーターやエスカレーターをとり入れて欲しい。,-11.5680199,-1.042137188,-4.785198832,14.91751274,-20.13040352
20代,横浜,こどもが携帯電話が好きで、よくさわっていること。磁波が体に影響しないか心配です。,1.689303129,1.716963651,-5.567488481,-15.53843748,2.049772241
,横浜,保育園に入れないー！！！,2.062386263,-0.156104012,0.79077513,6.975800025,10.92298986
20代,横浜,女子トイレに男のコ用トイレをもっと作って欲しい。おむつ替え用のベッドを色んな所でもっと設置して欲しい！,-7.606088132,1.67676888,4.052461331,9.217420865,-10.68082837
20代,横浜,室内の無料のあそび場がもっとたくさんあったらいいな。,-2.018817296,5.220727036,0.911902397,-8.361572573,7.898578849
30代,横浜,入りたい保育園に入れてほしい。磯子区,9.153111084,4.660275237,6.199529117,15.89384487,-1.28594921
20代,横浜,子育て支援施設がもっと増えてくれるといいな,5.656006393,-8.838131548,-2.985589272,-9.592244268,-16.44726768
30代,横浜,川崎区！公園のいたる所に寝てる人いっぱいでなんとかして欲しい！！遊びに行けない、、、。,6.148913623,-7.37724442,0.681214652,-6.216458027,-14.51527702
30代,横浜,子どもを育てながらできる時間の融通のきく仕事がたくさんあるといいな！,-1.524988145,2.113470815,-0.463461987,-5.431246247,12.93352262
30代,横浜,仕事ができる環境が少ない！短時間での仕事があるといい,-0.788112065,-8.398326928,2.435822619,3.680273796,18.51599589
30代,横浜,一度離職してしまうと、再就職が難しすぎる。もっと子供を預けられる施設を増やしてほしい,0.368203091,-2.193833604,6.986121393,-1.17944025,5.213820605
20代,横浜,産休中、育休中あけに仕事復帰が気まずい、、、。もっとママに優しい社会にしてー！！,-0.997997283,-10.49313225,2.847857645,4.454543303,20.47202925
30代,横浜,パートをしています。預け先がないっ！！なんとかして下さい。,3.818021421,7.908120461,4.614253654,19.21091589,6.218420086
30代,横浜,認可保育園をもっと増やして欲しい！ママに優しい環境に☆,7.839148755,-2.432548646,-0.339406775,-4.487684469,-11.0770267
30代,横浜,横浜市は保育園が増えてはいますが、待機になりそうで心配です。,1.311597237,6.159604545,-1.276590588,-8.641866072,15.69018619
20代,横浜,夫がいてもママだって外で働きたいです。もう少し区役所の人に話しを聞いてほしい。,4.186956089,-6.000197881,-3.721775774,-11.39905198,-11.06164907
40代,横浜,保育園の料金をもう少し安くしてほしい,6.982231792,5.615140387,1.668227226,15.35227149,5.815488673
30代,横浜,頑張ってるからパートの時給をたくさん上げて！！,8.290617103,-3.476906105,-2.251200386,-6.091027253,-9.082148464
30代,横浜,なかなかパートがない。出産前の仕事（美容師）の,4.312471425,0.537318827,4.685616601,3.192006256,2.643331083
20代,横浜,資格をとりやすくして仕事をすぐ始められるかんきょうが欲しいです,-1.190861773,-6.003955262,0.786792106,1.143141272,17.10663352
30代,横浜,産前は想像つかなかった大変さがあり、復職が困難。家の近くへ転職したい。保育園の待機がネック。,4.018328384,-0.885006754,-4.928526726,-13.33175508,-1.632534969
20代,横浜,働きたいのに保育園が足りない！学費タダにしてほしい,0.944503734,7.229180551,-1.40648786,-9.341587286,15.96099451
30代,横浜,子育て中の働くママ、職場の理解が欲しいです。男性もぜひ育休を。,-0.983069778,-9.922384909,2.960396091,4.330620801,20.13559309
20代,横浜,子供がいても働きやすい環境づくりをしてほしい,4.777062399,-4.210763864,-4.487183852,-11.61700175,-9.884015955
30代,横浜,働くママにももっと働きやすい環境作り。・保育園増加・時短勤務など,0.699423298,0.621157129,2.169447507,7.625843596,13.37764695
20代,横浜,保育園等に預けなくても働く場所で協力しあい子供を見ていられるしせつなどが出来ていけばうれしい。,2.017487988,-1.38770837,5.120434435,0.60281436,3.907940457
20代,横浜,保育園が見つからなくて、仕事を辞めなくてはいけなさそう、、、。もっと仕事がしたかった！仕事したい！,2.681482477,-0.5030719,1.896002755,6.121623841,10.65180075
,横浜,仕事ふっきがむずかしそう、、、。,9.152709969,4.658990696,6.199547914,15.90384984,-1.286158925
20代,横浜,子連れで働ける環境がほしい！！,-3.817830558,-4.235341703,3.737934857,2.556095882,-8.930551879
30代,横浜,子どもがいても時短で働いたりできる理解ある職場を増やしてほしいです。,-1.229189602,-8.343308918,2.550799643,3.681806955,18.50974761
20代,横浜,良い時間帯の仕事が見つからない。,-1.177380562,-7.328073068,2.389382457,3.272821322,17.54365925
30代,横浜,仕事ができやすい横浜に！！,-1.654594437,1.326196203,-1.052544433,-4.319195985,13.0216319
30代,横浜,もっと環境の良い保育園が欲しい！！！,2.140710035,-0.510768736,1.202145106,6.973161668,10.917794
,横浜,少子化と言いつつ子ども家庭にキビシすぎ。お金もかかりすぎ。,-2.771673079,10.24771521,-10.24293635,-20.26904123,16.13632713
,横浜,パートの時給,6.706376323,6.094063895,2.785776565,14.98923745,6.049128224
20代,横浜,仕事をしたいのにあずける所が少ない,0.166400934,-4.318153498,4.097404001,0.610055645,9.39244996
20代,横浜,家の近所にママ友がいなくて困ってます、、、ずっと3人だけです。パパも帰り遅いし、、、,4.418025754,-5.275246158,-4.588335944,-12.05989111,-10.28616925
30代,横浜,希望する保育園に入れるようにしてほしい,5.536302965,8.01771308,4.914288552,19.1346587,6.327298844
30代,横浜,学童を充実させて欲しい,6.982732483,-2.238818251,-0.76537185,-4.138010613,-10.61075244
20代,横浜,・保育園待機1年、、、。・歩道ベビーカーでももう少し安全に歩ける道が嬉しい。,-8.84894981,-3.654348701,2.068914151,5.573683218,-14.26770375
20代,横浜,保育園の待機をへらしてほしい。,6.850874681,5.291418225,2.489126421,15.38680639,5.810680037
20代,横浜,保育園付きの職場がもっと増えてくれればいいな、、、と思います！！,2.820842732,-4.994889851,3.275630059,3.699750171,5.655042761
20代,横浜,妊娠中にアレルギー体質になった、、、生まれてくる子どものアレルギーが心配,3.080547451,-0.849551947,-7.636393121,-16.68916362,-5.517909097
30代,横浜,放課後支援期待しています！,7.941752582,-5.964868098,-3.056432269,-8.819657802,-11.49973278
,横浜,もっとほいくえんとかいっぱいあったらママたちもじぶんがやりたいしごとできるのに,5.48869776,-11.06983311,-4.681056313,-10.93793976,-19.08872098
20代,横浜,保育園待機中・・・早く入園したいです！,5.365489424,9.372727653,6.50612152,21.59868145,6.852311632
20代,横浜,職場でお休みをとりやすくしてほしい,0.594051111,-3.192293985,4.758319434,0.552561271,7.632587578
40代,横浜,子育てと仕事が両立しやすい世の中に！,-2.078127219,-5.749065267,2.875744504,1.601345397,15.26520195
30代,横浜,認可保育園がすぐに利用できるようになれば良いなと思います,8.554540521,5.788889278,6.060230264,16.82979351,-0.278449365
30代,横浜,勤務時間に関わらず保育ママが受けられたらパートタイムで仕事に戻れるので条件を緩和してほしいな！,3.327455891,-0.234920809,-0.666993308,6.619963425,9.066508299
20代,横浜,保育園をもっと増やしてほしい,9.432480262,-0.192323067,2.480792409,9.175533577,1.16548402
20代,横浜,子どもを優せんに考えてくれる仕事があったら嬉しい。,-0.960481114,2.220977911,-0.41318544,-5.412033551,12.62626934
20代,横浜,保育園をふやしてほしい！,9.251750307,1.082823154,3.670945834,9.079088045,2.004965533
,横浜,歩きタバコ,-7.689078011,-2.084329759,3.317894968,6.787632238,-12.95748477
30代,横浜,もっと子どもがあそびやすい公園がほしい,5.653679731,-5.474691927,2.689221259,-3.961258737,-5.340032463
20代,横浜,保育園や託児所を増やして、もっと働きやすくしてほしいです。,4.826328291,5.040331888,3.271923556,14.2187456,2.940344696
20代,横浜,保育園に入れなくて仕事がなかなか出来ない,2.387304657,-0.205811144,1.046644169,6.977186834,10.92128566
20代,横浜,育休がないので、仕事をやめました。好きな仕事だったのでザンネンです。,0.320734062,-7.021599765,1.87250113,3.458033845,16.34089613
30代,横浜,小さい子の遊べる遊具のある公園がふえてほしい,5.905343119,-8.799675139,-3.047210541,-9.593724694,-16.43846967
20代,横浜,子どもが病気した時に休めない。病児保育はいっぱいで利用できない事が多い,4.462173948,-1.148158969,6.241850134,1.891217229,0.881351742
20代,横浜,保育園を増やして待機児童を減らして欲しい！！,5.674854109,7.631473052,4.770774177,19.16284418,6.33500958
20代,横浜,お金がなくて生活がギリギリで、仕事をしたくて区役所に保育園入所の相談に行ったけれど、まずどこかに2人のお子さんをあずけて仕事に就いてからでないと点数が低くてまず入れないでしょうと言われた。じいじ、ばあばが存在していなくて被災してきたと言っているのに、どこにあずけろって言うのだろう、、、ママが安心して仕事にいける環境になってほしい,6.222966884,-2.039657621,-1.741826042,-4.523853234,-9.73886148
30代,横浜,駅やショッピングモール。エレベーターを増やして欲しい。無料駐車場のモールも。,-8.050410171,-3.150482126,0.163244209,3.883229452,-15.90797862
20代,横浜,・仕事を始めたいけど、保育園の待ちが多くて働けない。・保育園が増えれば仕事を始めるママが増える。もっと育児に対して考えて！！,3.555925298,9.725415578,6.046968157,20.6013597,9.103320637
30代,横浜,もっとママが気楽に働けるかんきょうを作ってほしい,0.675193882,-6.330195903,1.563183838,3.082458368,14.68636429
20代,横浜,駅のエレベーターがもっと常設されたらいいな！,-10.29491153,-0.282976643,2.574692596,12.1823692,-12.26169288
30代,横浜,子供てあてがもっとほしい,-1.57082422,3.721940707,3.370851491,-6.337298139,4.677631995
30代,横浜,仕事したいけど娘とも一緒にもっといたい。サポートしてほしいです。,0.069062273,-5.204184942,3.946221159,1.871504313,9.898911075
30代,横浜,女性8割の会社なのに育休後はパート復帰しかさせてもらえない！！法律に罰則がないから守らなくていいって！！,-2.267845426,-7.641439835,1.437407808,4.760456911,17.25004159
20代,横浜,シンママで一人での育児、、、仕事面で優遇されたり、休みやすくなると有り難いのにな、、、,3.192318938,-2.730240157,-4.981551616,-12.47454186,-5.88632043
30代,横浜,会社勤めの経験がない,0.440064117,-0.78890716,1.532603029,6.292937453,13.13470734
20代,横浜,保育園、幼稚園増えてほしい、、、来年から仕事復帰できるといいな,4.89858546,10.17239777,7.187974937,22.71233908,6.960802206
20代,横浜,ママでもちゃんと働ける場所をふやしてほしい！！,5.837269139,-7.380687484,-1.815807841,-7.943964607,-14.23551067
30代,横浜,エレベーター広くて、たくさんあるとうれしいです。,-5.932754755,-4.846374132,-0.3145052,-0.384690928,-14.64884221
20代,横浜,保育園に入れるのに既に仕事をしている人じゃないと優先して入れない。預ける場所がないと働けないので困ります。,8.737436942,2.258537552,5.208600369,12.26281401,-1.182400092
20代,横浜,パパがいないので男の人のトイレのやり方が出来ません。本人は入りたいみたいなのですが、、、,1.335129975,0.695648941,-5.643102248,-15.52160691,0.608297303
20代,横浜,遊べる場所をふやしてほしい,1.555546475,0.224626967,5.802566097,-0.960254814,2.580830601
20代,横浜,ママカフェを増やしてほしい！！,-5.932318922,-4.846177632,-0.312835406,-0.3847435,-14.64697615
20代,横浜,お家の周りに子供の遊び場が少ないので、増やしてほしい！ちゃんと公園の整備もして、安全に利用できるように！！,-6.927492262,1.268117092,5.251318764,7.944439269,-9.98914014
20代,横浜,子どもと一緒にいれる時間がもっとほしい！,0.520380826,-2.519837742,6.196270203,-0.838992763,5.620285009
40代,横浜,ベビーチェアがあるお店がいがいと少ないと思います。あったらすごくありがたいです,-10.64398755,0.592576053,-0.50266554,14.1750215,-15.02140054
20代,横浜,育児をしなく、今だに子どもになつかれない夫。ダメダメ夫に腹が立つ！,0.580675219,-0.531479267,2.234170362,6.630083359,13.59326495
30代,横浜,切迫流産に対する理解がもっと深まるといいな！,1.356035103,-5.647107771,0.961583959,2.607670934,13.20678826
20代,横浜,近場の公園にせいけつさがほしい,4.205545371,-3.855258369,-5.328909933,-12.47531802,-8.534456318
20代,横浜,横浜に引っ越して来ました。発達しょうがいのため、放課後デイサービスを毎日送迎付で利用していましたが、横浜には療育中心のデイはありません。放課後の居場所を作って下さい。,-4.842484753,-5.22987031,-0.373218127,-1.725386199,-13.71832242
20代,横浜,駅にエレベーターがなくて、ベビーカーで行って困りました。つけてほしいです。,-10.15918189,0.170978618,3.122810614,12.19460568,-12.23904889
40代,横浜,赤ちゃんに優しい世の中になってほしい！,-3.493994443,3.634474885,-4.171744441,-11.76385625,7.533520371
30代,横浜,認可保育園たくさん作れ！納税してやんないぞ！,3.636591638,7.357052806,1.502824782,16.1495708,9.718684427
